	timestamps	stim_X	stim_Y	gaze_X	gaze_Y	frame	timestamp	success
0	1614777620.9411302	922	689	1120	875	453	15.067	1
1	1614777620.95312	922	689	1126	871	454	15.1	1
2	1614777620.964303	922	689	1130	865	454	15.1	1
3	1614777620.9745939	922	689	1134	859	454	15.1	1
4	1614777620.986242	922	689	1138	854	454	15.1	1
5	1614777620.9975839	927	682	1141	851	454	15.1	1
6	1614777621.00793	927	682	1145	847	455	15.133	1
7	1614777621.019368	927	682	1147	844	455	15.133	1
8	1614777621.030934	927	682	1150	841	455	15.133	1
9	1614777621.041108	931	675	1152	837	455	15.133	1
10	1614777621.052823	931	675	1154	834	455	15.133	1
11	1614777621.064289	931	675	1157	831	456	15.167	1
12	1614777621.0745661	931	675	1159	828	456	15.167	1
13	1614777621.0861561	937	668	1160	826	456	15.167	1
14	1614777621.097686	937	668	1163	823	457	15.2	1
15	1614777621.107776	937	668	1167	814	457	15.2	1
16	1614777621.1196089	937	668	1175	796	457	15.2	1
17	1614777621.1310868	937	668	1185	771	458	15.232999999999999	1
18	1614777621.141427	943	663	1194	740	458	15.232999999999999	1
19	1614777621.152924	943	663	1203	714	458	15.232999999999999	1
20	1614777621.164171	943	663	1211	690	459	15.267000000000001	1
21	1614777621.1744359	943	663	1218	671	459	15.267000000000001	1
22	1614777621.186244	949	657	1224	653	460	15.3	1
23	1614777621.197687	949	657	1230	638	460	15.3	1
24	1614777621.208094	949	657	1235	625	460	15.3	1
25	1614777621.219538	949	657	1239	614	461	15.333	1
26	1614777621.230948	957	654	1244	604	461	15.333	1
27	1614777621.241158	957	654	1248	595	461	15.333	1
28	1614777621.252868	957	654	1251	587	462	15.367	1
29	1614777621.264152	957	654	1253	582	462	15.367	1
30	1614777621.274329	964	658	1256	576	462	15.367	1
31	1614777621.286216	964	658	1259	572	463	15.4	1
32	1614777621.297303	964	658	1262	570	463	15.4	1
33	1614777621.3077369	964	658	1261	576	464	15.433	1
34	1614777621.319364	967	665	1259	590	464	15.433	1
35	1614777621.33072	967	665	1256	609	465	15.467	1
36	1614777621.341003	967	665	1253	628	465	15.467	1
37	1614777621.3527858	967	665	1251	644	465	15.467	1
38	1614777621.364112	968	674	1249	659	466	15.5	1
39	1614777621.374334	968	674	1247	672	466	15.5	1
40	1614777621.386112	968	674	1245	683	466	15.5	1
41	1614777621.3972518	968	674	1243	693	467	15.533	1
42	1614777621.4076118	969	682	1242	701	467	15.533	1
43	1614777621.419305	969	682	1241	708	467	15.533	1
44	1614777621.430686	969	682	1239	713	467	15.533	1
45	1614777621.4410949	969	682	1238	718	467	15.533	1
46	1614777621.452843	969	691	1237	723	467	15.533	1
47	1614777621.4640381	969	691	1236	727	468	15.567	1
48	1614777621.474494	969	691	1235	730	468	15.567	1
49	1614777621.485976	969	691	1234	733	468	15.567	1
50	1614777621.497341	968	700	1233	736	469	15.6	1
51	1614777621.507659	968	700	1233	739	469	15.6	1
52	1614777621.519223	968	700	1233	743	469	15.6	1
53	1614777621.530539	968	700	1232	746	470	15.633	1
54	1614777621.540664	965	708	1233	749	470	15.633	1
55	1614777621.552675	965	708	1232	751	470	15.633	1
56	1614777621.564883	965	708	1232	754	471	15.667	1
57	1614777621.574083	965	708	1232	756	471	15.667	1
58	1614777621.58606	964	716	1231	758	471	15.667	1
59	1614777621.597107	964	716	1231	762	472	15.7	1
60	1614777621.607542	964	716	1230	768	472	15.7	1
61	1614777621.6195161	964	716	1229	775	472	15.7	1
62	1614777621.630517	961	724	1228	780	473	15.732999999999999	1
63	1614777621.640929	961	724	1227	785	473	15.732999999999999	1
64	1614777621.652522	961	724	1227	791	474	15.767000000000001	1
65	1614777621.663636	961	724	1227	796	474	15.767000000000001	1
66	1614777621.674134	961	724	1227	801	475	15.8	1
67	1614777621.685806	956	731	1227	805	475	15.8	1
68	1614777621.696888	956	731	1226	810	475	15.8	1
69	1614777621.707314	956	731	1226	814	476	15.833	1
70	1614777621.719059	952	738	1226	817	476	15.833	1
71	1614777621.730586	952	738	1226	820	477	15.867	1
72	1614777621.740877	952	738	1226	824	477	15.867	1
73	1614777621.7524462	952	738	1225	826	477	15.867	1
74	1614777621.76367	948	745	1225	829	478	15.9	1
75	1614777621.774056	948	745	1224	832	478	15.9	1
76	1614777621.785661	948	745	1223	835	478	15.9	1
77	1614777621.797359	948	745	1223	837	478	15.9	1
78	1614777621.807256	948	745	1222	840	479	15.933	1
79	1614777621.819497	944	753	1222	841	479	15.933	1
80	1614777621.830379	944	753	1221	843	479	15.933	1
81	1614777621.84078	944	753	1220	845	479	15.933	1
82	1614777621.852269	944	753	1220	847	479	15.933	1
83	1614777621.863872	942	761	1220	849	480	15.967	1
84	1614777621.8740869	942	761	1219	851	480	15.967	1
85	1614777621.88549	942	761	1219	852	480	15.967	1
86	1614777621.8969948	937	767	1218	854	481	16.0	1
87	1614777621.907451	937	767	1218	855	481	16.0	1
88	1614777621.9188712	937	767	1217	856	481	16.0	1
89	1614777621.9302619	937	767	1217	858	482	16.033	1
90	1614777621.940685	937	767	1217	859	482	16.033	1
91	1614777621.9526598	930	774	1216	861	482	16.033	1
92	1614777621.9636278	930	774	1215	862	483	16.067	1
93	1614777621.974116	930	774	1215	863	483	16.067	1
94	1614777621.985658	930	774	1215	864	483	16.067	1
95	1614777621.9969509	924	780	1215	865	484	16.1	1
96	1614777622.0071619	924	780	1214	866	485	16.133	1
97	1614777622.018835	924	780	1214	867	485	16.133	1
98	1614777622.030258	924	780	1213	868	486	16.167	1
99	1614777622.040427	917	785	1212	869	486	16.167	1
100	1614777622.052346	917	785	1211	870	486	16.167	1
101	1614777622.0634038	917	785	1209	872	486	16.167	1
102	1614777622.073914	917	785	1207	876	487	16.2	1
103	1614777622.085507	910	791	1204	881	487	16.2	1
104	1614777622.096611	910	791	1201	886	487	16.2	1
105	1614777622.107367	910	791	1199	890	488	16.233	1
106	1614777622.11875	910	791	1197	894	488	16.233	1
107	1614777622.1300151	904	796	1195	898	489	16.267	1
108	1614777622.140411	904	796	1193	902	489	16.267	1
109	1614777622.152351	904	796	1191	906	489	16.267	1
110	1614777622.163532	904	796	1189	910	490	16.3	1
111	1614777622.173683	898	802	1187	914	490	16.3	1
112	1614777622.185372	898	802	1185	917	490	16.3	1
113	1614777622.197336	898	802	1183	920	491	16.333	1
114	1614777622.2071	898	802	1182	922	491	16.333	1
115	1614777622.21863	892	808	1180	925	491	16.333	1
116	1614777622.230041	892	808	1178	926	491	16.333	1
117	1614777622.240464	892	808	1176	927	491	16.333	1
118	1614777622.2521741	892	808	1174	928	491	16.333	1
119	1614777622.263225	885	813	1172	929	492	16.367	1
120	1614777622.273575	885	813	1170	929	492	16.367	1
121	1614777622.286711	885	813	1168	930	492	16.367	1
122	1614777622.2967482	885	813	1166	931	493	16.4	1
123	1614777622.306989	878	818	1164	931	493	16.4	1
124	1614777622.3187132	878	818	1162	931	493	16.4	1
125	1614777622.329993	878	818	1160	932	494	16.433	1
126	1614777622.340303	878	818	1158	932	494	16.433	1
127	1614777622.351858	871	823	1156	933	494	16.433	1
128	1614777622.363442	871	823	1154	935	495	16.467	1
129	1614777622.3736699	871	823	1152	937	496	16.5	1
130	1614777622.385374	871	823	1150	938	496	16.5	1
131	1614777622.396713	871	823	1148	939	496	16.5	1
132	1614777622.406916	863	827	1146	939	497	16.533	1
133	1614777622.418739	863	827	1144	940	497	16.533	1
134	1614777622.4298902	863	827	1142	940	497	16.533	1
135	1614777622.440238	863	827	1140	940	498	16.567	1
136	1614777622.452224	856	830	1138	941	498	16.567	1
137	1614777622.463263	856	830	1136	941	498	16.567	1
138	1614777622.473516	856	830	1134	941	499	16.6	1
139	1614777622.485519	856	830	1132	942	499	16.6	1
140	1614777622.496663	849	834	1130	943	499	16.6	1
141	1614777622.507339	849	834	1128	945	500	16.633	1
142	1614777622.5188038	849	834	1126	946	500	16.633	1
143	1614777622.529659	849	834	1125	947	500	16.633	1
144	1614777622.540252	841	838	1124	948	501	16.667	1
145	1614777622.552124	841	838	1122	949	501	16.667	1
146	1614777622.563485	841	838	1121	950	501	16.667	1
147	1614777622.573347	841	838	1119	951	502	16.7	1
148	1614777622.585272	834	841	1117	952	502	16.7	1
149	1614777622.596451	834	841	1116	953	503	16.733	1
150	1614777622.6069949	834	841	1115	953	503	16.733	1
151	1614777622.618699	834	841	1113	954	503	16.733	1
152	1614777622.629815	826	843	1111	955	503	16.733	1
153	1614777622.640301	826	843	1109	955	503	16.733	1
154	1614777622.651676	826	843	1108	956	503	16.733	1
155	1614777622.663234	826	843	1108	957	504	16.767	1
156	1614777622.673287	817	845	1107	957	504	16.767	1
157	1614777622.685133	817	845	1107	958	504	16.767	1
158	1614777622.697205	817	845	1105	960	505	16.8	1
159	1614777622.706598	817	845	1102	963	505	16.8	1
